letter;response
W;0
G;0
W;1
G;1
W;1
G;1
B;0
E;0
L;0
W;0
L;0
W;0
L;1
C;0
L;0
C;0
K;0
C;1
Z;0
C;0
Z;1
C;1
G;0
C;1
O;0
C;0
O;0
C;1
R;0
H;0
Y;0
A;0
N;0
E;0
E;1
E;0
E;1
E;0
E;0
D;0
E;1
O;0
E;0
U;0
K;0
U;1
K;1
M;0
K;1
M;0
Y;0
Q;0
G;0
Q;1
G;0
M;0
F;0
T;0
Z;0
T;1
E;0
T;0
C;0
T;1
C;0
T;1
C;0
R;0
C;1
F;0
C;0
F;0
P;0
F;1
F;0
F;0
F;1
F;0
F;1
F;0
F;0
F;1
W;0
F;1
B;0
F;0
B;0
F;0
B;0
E;0
B;1
E;0
B;0
Q;0
B;0
J;0
J;0
Q;0
J;1
J;0
S;0
J;1